status,date,noofaccounts,nooftrans,movedamount,noofclients
C,1995-11,116,582,4784775,116
C,1995-12,119,682,5630698,119
C,1996-01,131,961,6031339,131
C,1996-02,142,662,5009871,142
C,1996-03,152,738,5600232,152
C,1996-04,167,764,5327695,167
C,1996-05,178,844,6842956,178
C,1996-06,192,920,8822650,192
C,1996-07,213,990,8002578,213
C,1996-08,230,1094,8838507,230
C,1996-09,241,1125,8760728,241
C,1996-10,253,1267,10447642,253
C,1996-11,270,1302,10267100,270
C,1996-12,290,1591,14973008,290
C,1997-01,303,2289,15089241,303
C,1997-02,312,1464,10574918,312
C,1997-03,318,1659,12788581,318
C,1997-04,329,1714,13499473,329
C,1997-05,341,1797,13152240,341
C,1997-06,352,1970,18039465,352
C,1997-07,363,1943,14635812,363
C,1997-08,374,1999,14631835,374
C,1997-09,388,2017,14794928,388
C,1997-10,397,2130,15946222,397
C,1997-11,400,2140,15581871,400
C,1997-12,401,2480,20868544,401
C,1998-01,402,3471,22281876,402
C,1998-02,403,2107,14868039,403
C,1998-03,402,2271,16830544,402
C,1998-04,403,2228,16329104,403
C,1998-05,403,2278,16760961,403
C,1998-06,403,2454,23455625,403
C,1998-07,403,2274,16507907,403
C,1998-08,403,2267,16816703,403
C,1998-09,403,2292,18079396,403
C,1998-10,403,2257,17438232,403
C,1998-11,403,2232,16203468,403
C,1998-12,401,2041,19931732,401
D,1993-03,1,1,800,1
D,1993-04,1,2,5317,1
D,1993-05,1,1,63,1
D,1993-06,2,4,20434,2
D,1993-07,3,5,29828,3
D,1993-08,3,10,32883,3
D,1993-09,5,13,54255,5
D,1993-10,5,18,95849,5
D,1993-11,7,22,124388,7
D,1993-12,6,29,190220,6
D,1994-01,7,57,234325,7
D,1994-02,7,36,212225,7
D,1994-03,7,41,352726,7
D,1994-04,7,43,328504,7
D,1994-05,8,46,272319,8
D,1994-06,9,46,361391,9
D,1994-07,9,50,381505,9
D,1994-08,10,45,197753,10
D,1994-09,10,53,325003,10
D,1994-10,10,54,352030,10
D,1994-11,11,56,396152,11
D,1994-12,11,61,373102,11
D,1995-01,12,111,697608,12
D,1995-02,12,78,678604,12
D,1995-03,12,66,611545,12
D,1995-04,12,70,595952,12
D,1995-05,12,67,594089,12
D,1995-06,12,72,585337,12
D,1995-07,13,68,502193,13
D,1995-08,16,72,643143,16
D,1995-09,17,75,536124,17
D,1995-10,17,82,708664,17
D,1995-11,19,87,761606,19
D,1995-12,19,101,711514,19
D,1996-01,23,147,830356,23
D,1996-02,23,104,687867,23
D,1996-03,24,114,900728,24
D,1996-04,27,120,885915,27
D,1996-05,27,114,1120986,27
D,1996-06,28,153,1320665,28
D,1996-07,30,151,1193178,30
D,1996-08,30,146,1126585,30
D,1996-09,34,161,1274161,34
D,1996-10,36,186,1641702,36
D,1996-11,36,169,1440600,36
D,1996-12,40,220,1923156,40
D,1997-01,39,314,2272576,39
D,1997-02,40,198,1239314,40
D,1997-03,41,213,1580579,41
D,1997-04,40,223,1660750,40
D,1997-05,41,222,1581687,41
D,1997-06,43,271,2644830,43
D,1997-07,44,222,1685498,44
D,1997-08,45,203,1203939,45
D,1997-09,45,247,1812774,45
D,1997-10,45,232,1598086,45
D,1997-11,45,264,2195192,45
D,1997-12,45,269,1785379,45
D,1998-01,45,369,2573574,45
D,1998-02,45,252,1661387,45
D,1998-03,45,260,2266090,45
D,1998-04,45,254,2247317,45
D,1998-05,45,252,2117184,45
D,1998-06,45,251,2160398,45
D,1998-07,45,273,2598502,45
D,1998-08,45,273,2661772,45
D,1998-09,45,253,1902653,45
D,1998-10,44,250,2394528,44
D,1998-11,45,240,1638015,45
D,1998-12,42,197,1673423,42
